GCA_000826245.1_Acanthamoeba_astronyxis	A.astronyxis (2015)
GCA_024676255.1_ASM2467625v1	ascomycetes A.flavus (FL-B-18-3 2022)
GCA_024678725.1_ASM2467872v1	ascomycetes A.flavus (FL-C-1-2 2022)
GCA_024678625.1_ASM2467862v1	ascomycetes A.flavus (FL-C-13-1 2022)
GCA_024678665.1_ASM2467866v1	ascomycetes A.flavus (FL-C-15-1-1 2022)
GCA_024678605.1_ASM2467860v1	ascomycetes A.flavus (FL-C-18-1 2022)
GCA_024678645.1_ASM2467864v1	ascomycetes A.flavus (FL-C-4-1-1 2022)
GCA_024678525.1_ASM2467852v1	ascomycetes A.flavus (IA-C-8-1 2022)
GCA_024678565.1_ASM2467856v1	ascomycetes A.flavus (IA-C-9-1 2022)
GCA_027574695.1_SRRC_1582	ascomycetes A.flavus (IC278 2023)
GCA_003967615.1_Afla_1.0	ascomycetes A.flavus (IFM 54693 2018)
GCA_003967635.1_Afla_1.0	ascomycetes A.flavus (IFM 55053 2018)
GCA_003967655.1_Afla_1.0	ascomycetes A.flavus (IFM 57535 2018)
GCA_003967675.1_Afla_1.0	ascomycetes A.flavus (IFM 58503 2018)
GCA_003967695.1_Afla_1.0	ascomycetes A.flavus (IFM 59894 2018)
GCA_003967715.1_Afla_1.0	ascomycetes A.flavus (IFM 59975 2018)
GCA_003967735.1_Afla_1.0	ascomycetes A.flavus (IFM 60519 2018)
GCA_003967755.1_Afla_1.0	ascomycetes A.flavus (IFM 60655 2018)
GCA_003967775.1_Afla_1.0	ascomycetes A.flavus (IFM 61224 2018)
GCA_003967795.1_Afla_1.0	ascomycetes A.flavus (IFM 61226 2018)
GCA_024678445.1_ASM2467844v1	ascomycetes A.flavus (IN-B-12-1 2022)
GCA_024678425.1_ASM2467842v1	ascomycetes A.flavus (IN-B-19-1-1 2022)
GCA_024678385.1_ASM2467838v1	ascomycetes A.flavus (IN-C-14-1-1 2022)
GCA_026743815.1_ASM2674381v1	ascomycetes A.flavus (IN-C-14-2-1 2022)
GCA_012896705.1_ASM1289670v1	ascomycetes A.flavus (K49 2020)
GCA_012896555.1_ASM1289655v1	ascomycetes A.flavus (K54A 2020)
GCA_039268115.1_ASM3926811v1	ascomycetes A.flavus (KLFASPF10B.1 2024)
GCA_039267225.1_ASM3926722v1	ascomycetes A.flavus (KLFASPF1B.1 2024)
GCA_039267895.1_ASM3926789v1	ascomycetes A.flavus (KLFASPF4B.1 2024)
GCA_039268055.1_ASM3926805v1	ascomycetes A.flavus (KLFASPF5B.1 2024)
GCA_039267915.1_ASM3926791v1	ascomycetes A.flavus (KLFASPF7B.1 2024)
GCA_039267855.1_ASM3926785v1	ascomycetes A.flavus (KLFASPF9A.1 2024)
GCA_018140865.1_ASM1814086v1	ascomycetes A.flavus (KSW16 2021)
GCA_039267505.1_ASM3926750v1	ascomycetes A.flavus (KWASPF16A.1 2024)
GCA_039267495.1_ASM3926749v1	ascomycetes A.flavus (KWASPF17A.1 2024)
GCA_039267155.1_ASM3926715v1	ascomycetes A.flavus (KWASPF18B.1 2024)
GCA_039267115.1_ASM3926711v1	ascomycetes A.flavus (KWASPF19B.1 2024)
GCA_039267105.1_ASM3926710v1	ascomycetes A.flavus (KWASPF20B.1 2024)
GCA_039267165.1_ASM3926716v1	ascomycetes A.flavus (KWASPF22B.1 2024)
GCA_030515275.1_ASM3051527v1	ascomycetes A.flavus (La3279 2023)
GCA_039267875.1_ASM3926787v1	ascomycetes A.flavus (LMASPF11B.1 2024)
GCA_039267535.1_ASM3926753v1	ascomycetes A.flavus (LMASPF12A.1 2024)
GCA_039267545.1_ASM3926754v1	ascomycetes A.flavus (LMASPF13B.1 2024)
GCA_039267615.1_ASM3926761v1	ascomycetes A.flavus (LMASPF15A.1 2024)
GCA_025769655.1_ASM2576965v1	ascomycetes A.flavus (M40-03B 2022)
GCA_020091605.1_ASM2009160v1	ascomycetes A.flavus (MRI19 2021)
GCA_024678405.1_ASM2467840v1	ascomycetes A.flavus (NC-A-1-3-1 2022)
GCA_026743835.1_ASM2674383v1	ascomycetes A.flavus (NC-A-1-8B-1 2022)
GCA_024678465.1_ASM2467846v1	ascomycetes A.flavus (NC-A-2-3-2 2022)
GCA_024678345.1_ASM2467834v1	ascomycetes A.flavus (NC-A-4-6B-2 2022)
GCA_024678365.1_ASM2467836v1	ascomycetes A.flavus (NC-B-1-3-1 2022)
GCA_024678285.1_ASM2467828v1	ascomycetes A.flavus (NC-D-1-5-1 2022)
GCA_024678295.1_ASM2467829v1	ascomycetes A.flavus (NC-D-2-2-2 2022)
GCA_024678225.1_ASM2467822v1	ascomycetes A.flavus (NC-D-2-6-1 2022)
GCA_024676965.1_ASM2467696v1	ascomycetes A.flavus (NC-E-14-2 2022)
GCA_024677005.1_ASM2467700v1	ascomycetes A.flavus (NC-E-14-3-1 2022)
GCA_024676945.1_ASM2467694v1	ascomycetes A.flavus (NC-E-16-1 2022)
GCA_024676915.1_ASM2467691v1	ascomycetes A.flavus (NC-E-17-3-1 2022)
GCA_024677145.1_ASM2467714v1	ascomycetes A.flavus (NC-E-2-1-1 2022)
GCA_024676895.1_ASM2467689v1	ascomycetes A.flavus (NC-E-25-1 2022)
GCA_024676865.1_ASM2467686v1	ascomycetes A.flavus (NC-E-25-3-1 2022)
GCA_024667655.1_ASM2466765v1	ascomycetes A.flavus (NC-E-3-2 2022)
GCA_024677125.1_ASM2467712v1	ascomycetes A.flavus (NC-E-6-1 2022)
GCA_024677025.1_ASM2467702v1	ascomycetes A.flavus (NC-E-6-3-1 2022)
GCA_002456175.2_ASM245617v2	ascomycetes A.flavus (NRRL 118543 2018)
GCA_030770205.1_ASM3077020v1	ascomycetes A.flavus (NRRL 1957 2023)
GCA_002443195.2_ASM244319v2	ascomycetes A.flavus (NRRL 21882 2018)
GCA_012897115.1_ASM1289711v1	ascomycetes A.flavus (NRRL 2999 2020)
GCA_002443215.2_ASM244321v2	ascomycetes A.flavus (NRRL 30797 2018)
GCA_009017415.1_ASM901741v1	ascomycetes A.flavus (NRRL 3357 2019)
GCA_004329145.1_ASM432914v1	ascomycetes A.flavus (NRRL 35739 2019)
GCA_030770195.1_ASM3077019v1	ascomycetes A.flavus (NRRL 501 2023)
GCA_000006275.3_JCVI-afl1-v3.0	ascomycetes A.flavus (NRRL3357 JCVI-afl1-v3.0 2020)
GCA_014117465.1_ASM1411746v1	ascomycetes A.flavus (NRRL3357 PRJNA606291 2020)
GCA_042609365.1_ASM4260936v1	ascomycetes A.flavus (NRZ-2015-093 2024)
GCA_042609345.1_ASM4260934v1	ascomycetes A.flavus (NRZ-2015-139 2024)
GCA_042609275.1_ASM4260927v1	ascomycetes A.flavus (NRZ-2015-180 2024)
GCA_042609295.1_ASM4260929v1	ascomycetes A.flavus (NRZ-2016-084 2024)
GCA_042609265.1_ASM4260926v1	ascomycetes A.flavus (NRZ-2016-396 2024)
GCA_042609255.1_ASM4260925v1	ascomycetes A.flavus (NRZ-2017-104 2024)
GCA_042609225.1_ASM4260922v1	ascomycetes A.flavus (NRZ-2017-123 2024)
GCA_042609195.1_ASM4260919v1	ascomycetes A.flavus (NRZ-2017-203 2024)
GCA_042931815.1_ASM4293181v1	ascomycetes A.flavus (NRZ-2017-236 2024)
GCA_042609205.1_ASM4260920v1	ascomycetes A.flavus (NRZ-2017-296 2024)
GCA_042609175.1_ASM4260917v1	ascomycetes A.flavus (NRZ-2017-435 2024)
GCA_042609115.1_ASM4260911v1	ascomycetes A.flavus (NRZ-2017-471 2024)
GCA_042608855.1_ASM4260885v1	ascomycetes A.flavus (NRZ-2018-277 2024)
GCA_042931735.1_ASM4293173v1	ascomycetes A.flavus (NRZ-2018-411 2024)
GCA_042609135.1_ASM4260913v1	ascomycetes A.flavus (NRZ-2018-501 2024)
GCA_042609105.1_ASM4260910v1	ascomycetes A.flavus (NRZ-2018-573 2024)
GCA_042609095.1_ASM4260909v1	ascomycetes A.flavus (NRZ-2018-619 2024)
GCA_042609085.1_ASM4260908v1	ascomycetes A.flavus (NRZ-2018-642 2024)
GCA_042609015.1_ASM4260901v1	ascomycetes A.flavus (NRZ-2019-089 2024)
GCA_042608985.1_ASM4260898v1	ascomycetes A.flavus (NRZ-2019-098 2024)
GCA_042609025.1_ASM4260902v1	ascomycetes A.flavus (NRZ-2019-135 2024)
GCA_042609005.1_ASM4260900v1	ascomycetes A.flavus (NRZ-2019-147 2024)
GCA_042931755.1_ASM4293175v1	ascomycetes A.flavus (NRZ-2019-224 2024)
GCA_042931675.1_ASM4293167v1	ascomycetes A.flavus (NRZ-2019-251 2024)
GCA_042608795.1_ASM4260879v1	ascomycetes A.flavus (NRZ-2019-319 2024)
GCA_042608995.1_ASM4260899v1	ascomycetes A.flavus (NRZ-2019-397 2024)
GCA_042931795.1_ASM4293179v1	ascomycetes A.flavus (NRZ-2019-501 2024)
GCA_042608785.1_ASM4260878v1	ascomycetes A.flavus (NRZ-2019-511 2024)
GCA_042931695.1_ASM4293169v1	ascomycetes A.flavus (NRZ-2019-553 2024)
GCA_042608905.1_ASM4260890v1	ascomycetes A.flavus (NRZ-2019-556 2024)
GCA_042931535.1_ASM4293153v1	ascomycetes A.flavus (NRZ-2019-686 2024)
GCA_042608925.1_ASM4260892v1	ascomycetes A.flavus (NRZ-2019-708 2024)
GCA_042608825.1_ASM4260882v1	ascomycetes A.flavus (NRZ-2020-048 2024)
GCA_042931575.1_ASM4293157v1	ascomycetes A.flavus (NRZ-2020-086 2024)
GCA_042608805.1_ASM4260880v1	ascomycetes A.flavus (NRZ-2020-130 2024)
GCA_042608915.1_ASM4260891v1	ascomycetes A.flavus (NRZ-2020-288 2024)
GCA_042608895.1_ASM4260889v1	ascomycetes A.flavus (NRZ-2020-404 2024)
GCA_042608725.1_ASM4260872v1	ascomycetes A.flavus (NRZ-2020-599 2024)
GCA_042608735.1_ASM4260873v1	ascomycetes A.flavus (NRZ-2020-617 2024)
GCA_042608885.1_ASM4260888v1	ascomycetes A.flavus (NRZ-2020-787 2024)
GCA_042608745.1_ASM4260874v1	ascomycetes A.flavus (NRZ-2021-0053 2024)
GCA_042608695.1_ASM4260869v1	ascomycetes A.flavus (NRZ-2021-0058 2024)
GCA_042608685.1_ASM4260868v1	ascomycetes A.flavus (NRZ-2021-0507 2024)
GCA_042608585.1_ASM4260858v1	ascomycetes A.flavus (NRZ-2021-0510 2024)
GCA_042608625.1_ASM4260862v1	ascomycetes A.flavus (NRZ-2021-0561 2024)
GCA_042608645.1_ASM4260864v1	ascomycetes A.flavus (NRZ-2021-0657 2024)
GCA_042608595.1_ASM4260859v1	ascomycetes A.flavus (NRZ-2021-0758 2024)
GCA_042608605.1_ASM4260860v1	ascomycetes A.flavus (NRZ-2021-0823 2024)
GCA_024676745.1_ASM2467674v1	ascomycetes A.flavus (OK-A-17-1-1 2022)
GCA_024676875.1_ASM2467687v1	ascomycetes A.flavus (OK-A-8-1-S 2022)
GCA_024674685.1_ASM2467468v1	ascomycetes A.flavus (OK-B-17-1-1 2022)
GCA_024675505.1_ASM2467550v1	ascomycetes A.flavus (OK-B-6-1-1 2022)
GCA_037040755.1_ASM3704075v1	ascomycetes A.flavus (P7901 2024)
GCA_024674045.1_ASM2467404v1	ascomycetes A.flavus (PA-A-6-1 2022)
GCA_024673995.1_ASM2467399v1	ascomycetes A.flavus (PA-B-1-1-1 2022)
GCA_024672685.1_ASM2467268v1	ascomycetes A.flavus (PA-B-11-1 2022)
GCA_024672335.1_ASM2467233v1	ascomycetes A.flavus (PA-B-14-2 2022)
GCA_024671105.1_ASM2467110v1	ascomycetes A.flavus (PA-B-20-1 2022)
GCA_024670455.1_ASM2467045v1	ascomycetes A.flavus (PA-B-23-1-1 2022)
GCA_024669875.1_ASM2466987v1	ascomycetes A.flavus (PA-B-24-1 2022)
GCA_024673175.1_ASM2467317v1	ascomycetes A.flavus (PA-B-4-1-1 2022)
GCA_024668895.1_ASM2466889v1	ascomycetes A.flavus (PA-C-1-1-1 2022)
GCA_025769725.1_ASM2576972v1	ascomycetes A.flavus (PA2202 2022)
GCA_025769845.1_ASM2576984v1	ascomycetes A.flavus (PDH1703 2022)
GCA_025769695.1_ASM2576969v1	ascomycetes A.flavus (PF30-2 2022)
GCA_025769785.1_ASM2576978v1	ascomycetes A.flavus (PL2201W 2022)
GCA_025769635.1_ASM2576963v1	ascomycetes A.flavus (PL2204A 2022)
GCA_025769745.1_ASM2576974v1	ascomycetes A.flavus (PT2405 2022)
GCA_025769605.1_ASM2576960v1	ascomycetes A.flavus (R1809 2022)
GCA_025765975.1_ASM2576597v1	ascomycetes A.flavus (S2202 2022)
GCA_034621645.1_ASM3462164v1	ascomycetes A.flavus (SRRC 1588 2023)
GCA_034621665.1_ASM3462166v1	ascomycetes A.flavus (SRRC 1669 2023)
GCA_009856665.1_ASM985666v1	ascomycetes A.flavus (SU-16 2020)
GCA_012896145.1_ASM1289614v1	ascomycetes A.flavus (Tox4 2020)
GCA_024668885.1_ASM2466888v1	ascomycetes A.flavus (TX-A-1-1-1 2022)
GCA_024671095.1_ASM2467109v1	ascomycetes A.flavus (TX-A-15-1 2022)
GCA_024667855.1_ASM2466785v1	ascomycetes A.flavus (TX-B-1-1-1 2022)
GCA_024667605.1_ASM2466760v1	ascomycetes A.flavus (TX-B-7-1 2022)
GCA_024667295.1_ASM2466729v1	ascomycetes A.flavus (TX-B-9-1 2022)
GCA_024665715.1_ASM2466571v1	ascomycetes A.flavus (TX-C-17-1 2022)
GCA_024665695.1_ASM2466569v1	ascomycetes A.flavus (TX-C-19-1-1 2022)
GCA_012896415.1_ASM1289641v1	ascomycetes A.flavus (VCG1 2020)
GCA_012896275.1_ASM1289627v1	ascomycetes A.flavus (VCG4 2020)
GCA_002864195.1_ASM286419v1	ascomycetes A.flavus (WRRL1519 2018)
GCA_029618185.1_ASM2961818v1	ascomycetes A.fumigatus (0030661546 AFU 25/06 2023)
GCA_029618255.1_ASM2961825v1	ascomycetes A.fumigatus (0040668669 AFU 30/06 2023)
GCA_029618225.1_ASM2961822v1	ascomycetes A.fumigatus (0040673067 AFU 30/06 2023)
GCA_029618275.1_ASM2961827v1	ascomycetes A.fumigatus (0040675686 AFU 30/06 2023)
GCA_029618305.1_ASM2961830v1	ascomycetes A.fumigatus (0040676010 AFU 30/06 2023)
GCA_029618335.1_ASM2961833v1	ascomycetes A.fumigatus (0040676907 AFU 25/06 2023)
GCA_029618285.1_ASM2961828v1	ascomycetes A.fumigatus (0040679185 AFU 30/06 2023)
GCA_029618205.1_ASM2961820v1	ascomycetes A.fumigatus (070 01-70-BAL-1 2023)
GCA_040142875.1_UCR_Afum_08-19-02-30_1.0	ascomycetes A.fumigatus (08-19-02-30 2024)
GCA_040142855.1_UCR_Afum_47-10_1.0	ascomycetes A.fumigatus (47-10 2024)
GCA_040142865.1_UCR_Afum_47-4_1.0	ascomycetes A.fumigatus (47-4 2024)
GCA_029618195.1_ASM2961819v1	ascomycetes A.fumigatus (5.1TA 2023)
GCA_020503745.1_ASM2050374v1	ascomycetes A.fumigatus (A-2-48s-2 2021)
GCA_024220425.1_ASM2422042v1	ascomycetes A.fumigatus (A1160 2022)
GCA_000150145.1_ASM15014v1	ascomycetes A.fumigatus (A1163 2007)
GCA_040126065.1_UCR_Afum_AF100-9B_1.0	ascomycetes A.fumigatus (AF100-9B 2024)
GCA_000002655.1_ASM265v1	ascomycetes A.fumigatus (Af293 2005)
GCA_028752205.1_ASM2875220v1	ascomycetes A.fumigatus (Afir964 2023)
GCA_028752175.1_ASM2875217v1	ascomycetes A.fumigatus (Afir974 2023)
GCA_040142885.1_UCR_Afum_ATCC13073_1.0	ascomycetes A.fumigatus (ATCC 13073 2024)
GCA_040142845.1_UCR_Afum_ATCC42202_1.0	ascomycetes A.fumigatus (ATCC 42202 2024)
GCA_040142955.1_UCR_Afum_ATCC46645_1.0	ascomycetes A.fumigatus (ATCC 46645 2024)
GCA_020498865.1_ASM2049886v1	ascomycetes A.fumigatus (B-1-45-2 2021)
GCA_020499975.1_ASM2049997v1	ascomycetes A.fumigatus (B-1-66s-1 2021)
GCA_020499995.1_ASM2049999v1	ascomycetes A.fumigatus (B-1-70s-1 2021)
GCA_020500075.1_ASM2050007v1	ascomycetes A.fumigatus (B-1-71L-1 2021)
GCA_020503905.1_ASM2050390v1	ascomycetes A.fumigatus (B-1-78L-1 2021)
GCA_025766145.1_ASM2576614v1	ascomycetes A.fumigatus (B3604 2022)
GCA_040142945.1_UCR_Afum_B5233_1.0	ascomycetes A.fumigatus (B5233 2024)
GCA_015572005.1_ASM1557200v1	ascomycetes A.fumigatus (CAPA A 2020)
GCA_015572015.1_ASM1557201v1	ascomycetes A.fumigatus (CAPA B 2020)
GCA_015572025.1_ASM1557202v1	ascomycetes A.fumigatus (CAPA C 2020)
GCA_015571995.1_ASM1557199v1	ascomycetes A.fumigatus (CAPA D 2020)
GCA_051225625.1_ASM5122562v1	ascomycetes A.fumigatus (CEA10 2022)
GCA_012656215.1_ASM1265621v1	ascomycetes A.fumigatus (CNM-CM8057 2020)
GCA_012656115.1_ASM1265611v1	ascomycetes A.fumigatus (CNM-CM8686 2020)
GCA_012656125.1_ASM1265612v1	ascomycetes A.fumigatus (CNM-CM8689 2020)
GCA_012656185.1_ASM1265618v1	ascomycetes A.fumigatus (CNM-CM8714 2020)
GCA_012656165.1_ASM1265616v1	ascomycetes A.fumigatus (CNM-CM8812 2020)
GCA_020498815.1_ASM2049881v1	ascomycetes A.fumigatus (D-2-47L-1 2021)
GCA_020501185.1_ASM2050118v1	ascomycetes A.fumigatus (D-2-47L-2 2021)
GCA_040167805.1_UCR_Afum_D141_1.0	ascomycetes A.fumigatus (D141 2024)
GCA_020499415.1_ASM2049941v1	ascomycetes A.fumigatus (E-1-49-1 2021)
GCA_020498895.1_ASM2049889v1	ascomycetes A.fumigatus (E-1-65L-2 2021)
GCA_025766085.1_ASM2576608v1	ascomycetes A.fumigatus (F1804 2022)
GCA_023620375.1_ASM2362037v1	ascomycetes A.fumigatus (F1903 2022)
GCA_051942955.1_DHU_Fsp_f2_v1	ascomycetes A.fumigatus (F2 2025)
GCA_023621025.1_ASM2362102v1	ascomycetes A.fumigatus (F2701 2022)
GCA_020501735.1_ASM2050173v1	ascomycetes A.fumigatus (G-2-5-2 2021)
GCA_020501995.1_ASM2050199v1	ascomycetes A.fumigatus (H-1-10-6 2021)
GCA_040142975.1_UCR_Afum_H237_1.0	ascomycetes A.fumigatus (H237 2024)
GCA_018804105.1_ICMP23421_Afum_1	ascomycetes A.fumigatus (ICMP 23421 2021)
GCA_001643655.1_ASM164365v1	ascomycetes A.fumigatus (IF1SW-F4 2016)
GCA_015586125.1_ASM1558612v1	ascomycetes A.fumigatus (IF1SW-F4 2020)
GCA_025201645.1_ASM2520164v1	ascomycetes A.fumigatus (IP_23 2022)
GCA_025118165.1_ASM2511816v1	ascomycetes A.fumigatus (IP_24 2022)
GCA_001643665.1_ASM164366v1	ascomycetes A.fumigatus (ISSFT-021 2016)
GCA_020503595.1_ASM2050359v1	ascomycetes A.fumigatus (K-1-1L-5 2021)
GCA_020502045.1_ASM2050204v1	ascomycetes A.fumigatus (K-1-8L-3 2021)
GCA_020501695.1_ASM2050169v1	ascomycetes A.fumigatus (L-3-21-1 2021)
GCA_001715275.2_ASM171527v2	ascomycetes A.fumigatus (LMB-35Aa 2016)
GCA_029618175.1_ASM2961817v1	ascomycetes A.fumigatus (M.20.0011027 2023)
GCA_029618165.1_ASM2961816v1	ascomycetes A.fumigatus (M.20.0011028 2023)
GCA_023620925.1_ASM2362092v1	ascomycetes A.fumigatus (M1650 2022)
GCA_023620335.1_ASM2362033v1	ascomycetes A.fumigatus (M40-03A 2022)
GCA_000731615.1_AspFumNiv1.0	ascomycetes A.fumigatus (niveus 2014)
GCA_003116565.1_ASM311656v1	ascomycetes A.fumigatus (NRRL 5109 2018)
GCA_020499675.1_ASM2049967v1	ascomycetes A.fumigatus (NRZ-2016-141 2021)
GCA_020500455.1_ASM2050045v1	ascomycetes A.fumigatus (NRZ-2017-101 2021)
GCA_020500655.1_ASM2050065v1	ascomycetes A.fumigatus (NRZ-2017-322 2021)
GCA_020500645.1_ASM2050064v1	ascomycetes A.fumigatus (NRZ-2017-346 2021)
GCA_023621035.1_ASM2362103v1	ascomycetes A.fumigatus (PA1607 2022)
GCA_023620975.1_ASM2362097v1	ascomycetes A.fumigatus (PA4301 2022)
GCA_023620865.1_ASM2362086v1	ascomycetes A.fumigatus (PB30-11 2022)
GCA_023620225.1_ASM2362022v1	ascomycetes A.fumigatus (PB4204 2022)
GCA_023620895.1_ASM2362089v1	ascomycetes A.fumigatus (PB4205 2022)
GCA_023620135.1_ASM2362013v1	ascomycetes A.fumigatus (PB4306 2022)
GCA_023620825.1_ASM2362082v1	ascomycetes A.fumigatus (PF1804 2022)
GCA_023620195.1_ASM2362019v1	ascomycetes A.fumigatus (PF1904 2022)
GCA_023620295.1_ASM2362029v1	ascomycetes A.fumigatus (PF3501 2022)
GCA_023620985.1_ASM2362098v1	ascomycetes A.fumigatus (PG3602 2022)
GCA_023620935.1_ASM2362093v1	ascomycetes A.fumigatus (PH1799 2022)
GCA_023620325.1_ASM2362032v1	ascomycetes A.fumigatus (PH4002 2022)
GCA_023620835.1_ASM2362083v1	ascomycetes A.fumigatus (PK1002 2022)
GCA_023620365.1_ASM2362036v1	ascomycetes A.fumigatus (PM1702 2022)
GCA_023621065.1_ASM2362106v1	ascomycetes A.fumigatus (PM1903 2022)
GCA_023620795.1_ASM2362079v1	ascomycetes A.fumigatus (PM1906 2022)
GCA_023620165.1_ASM2362016v1	ascomycetes A.fumigatus (PM4304 2022)
GCA_023620045.1_ASM2362004v1	ascomycetes A.fumigatus (PT30-03 2022)
GCA_023621075.1_ASM2362107v1	ascomycetes A.fumigatus (PT4101 2022)
GCA_023620235.1_ASM2362023v1	ascomycetes A.fumigatus (PT4102 2022)
GCA_023620875.1_ASM2362087v1	ascomycetes A.fumigatus (PT4105 2022)
GCA_025766045.1_ASM2576604v1	ascomycetes A.fumigatus (PYS2101 2022)
GCA_023620055.1_ASM2362005v1	ascomycetes A.fumigatus (R1620 2022)
GCA_023620255.1_ASM2362025v1	ascomycetes A.fumigatus (R1907 2022)
GCA_023620085.1_ASM2362008v1	ascomycetes A.fumigatus (R2404 2022)
GCA_023620155.1_ASM2362015v1	ascomycetes A.fumigatus (R2805 2022)
GCA_023620105.1_ASM2362010v1	ascomycetes A.fumigatus (R2806 2022)
GCA_023620755.1_ASM2362075v1	ascomycetes A.fumigatus (R4201 2022)
GCA_025765995.1_ASM2576599v1	ascomycetes A.fumigatus (R4506 2022)
GCA_023620275.1_ASM2362027v1	ascomycetes A.fumigatus (S3811D 2022)
GCA_025766105.1_ASM2576610v1	ascomycetes A.fumigatus (S3901 2022)
GCA_040167795.1_UCR_Afum_W72310_1.0	ascomycetes A.fumigatus (W72310 2024)
GCA_023620605.1_ASM2362060v1	ascomycetes A.fumigatus (X1902 2022)
GCA_023620175.1_ASM2362017v1	ascomycetes A.fumigatus (Y1703 2022)
GCA_023620995.1_ASM2362099v1	ascomycetes A.fumigatus (Y3805 2022)
GCA_001029325.1_ASM102932v1	ascomycetes A.fumigatus (Z5 2015)
GCF_000002655.1_ASM265v1	ascomycetes A.fumigatus Af293
GCA_001599455.1_JCM_10253_assembly_v001	ascomycetes A.fumigatus var. fumigatus (JCM 10253 2016)
GCF_001890805.1_Aspgl1	ascomycetes A.glaucus CBS 516.65
GCF_003184545.1_Asphet1	ascomycetes A.heteromorphus CBS 117.55
GCF_003184865.1_Asphom1	ascomycetes A.homomorphus CBS 101889
GCF_003184845.1_Aspibe1	ascomycetes A.ibericus CBS 121593
GCA_001445615.2_Alt_assembly01	ascomycetes A.lentulus (IFM 54703 2021)
GCA_001890685.1_Aspfo1	ascomycetes A.luchuensis (CBS 106.47 2016)
GCA_000239835.2_Akaw_assembly01	ascomycetes A.luchuensis IFO 4308 (IFO4308 2011)
GCA_009176455.1_Aspmin1	ascomycetes A.minisclerotigenes (CBS 117635 2019)
GCA_028505775.1_ASM2850577v1	ascomycetes A.minisclerotigenes (MRI390 2023)
GCA_028505865.1_ASM2850586v1	ascomycetes A.minisclerotigenes (MRI400 2023)
GCA_041684195.1_ASM4168419v1	ascomycetes A.nidulans (1928 2024)
GCA_041684315.1_ASM4168431v1	ascomycetes A.nidulans (2199 2024)
GCA_041684325.1_ASM4168432v1	ascomycetes A.nidulans (5 2024)
GCA_041684355.1_ASM4168435v1	ascomycetes A.nidulans (5035 2024)
GCA_000011425.1_ASM1142v1	ascomycetes A.nidulans (FGSC A4 2009)
GCA_000149205.2_ASM14920v2	ascomycetes A.nidulans (FGSC A4 2012 genbank)
GCF_000149205.2_ASM14920v2	ascomycetes A.nidulans (FGSC A4 2012 refseq)
GCA_025766005.1_ASM2576600v1	ascomycetes A.nidulans (R2309 2022)
GCA_047715555.1_Aspacri1	ascomycetes A.nidulans var. acristatus (CBS 119.55 2025)
GCA_026261755.1_CSR3	ascomycetes A.niger (2022)
GCA_001741885.1_ASM174188v1	ascomycetes A.niger (A1 2016)
GCA_001515345.1_ASM151534v1	ascomycetes A.niger (An76 2015)
GCA_000230395.2_ASPNI_v3.0	ascomycetes A.niger (ATCC 1015 2011)
GCA_003344705.1_Aspni_bvT_1	ascomycetes A.niger (ATCC 13496 2018)
GCA_023625475.1_ASM2362547v1	ascomycetes A.niger (B7004A 2022)
GCA_023509725.1_ASM2350972v1	ascomycetes A.niger (BSC-1 2022)
GCA_003184595.1_Asplac1	ascomycetes A.niger (CBS 101883 2018)
GCA_023134515.1_ASM2313451v1	ascomycetes A.niger (CBS 112.32 2022)
GCA_023134475.1_ASM2313447v1	ascomycetes A.niger (CBS 113.50 2022)
GCA_023134355.1_ASM2313435v1	ascomycetes A.niger (CBS 115988 2022)
GCA_023091205.1_ASM2309120v1	ascomycetes A.niger (CBS 115989 2022)
GCA_023134325.1_ASM2313432v1	ascomycetes A.niger (CBS 118.52 2022)
GCA_023134445.1_ASM2313444v1	ascomycetes A.niger (CBS 124.48 2022)
GCA_023134385.1_ASM2313438v1	ascomycetes A.niger (CBS 131.52 2022)
GCA_023091265.1_ASM2309126v1	ascomycetes A.niger (CBS 133816 2022)
GCA_023134415.1_ASM2313441v1	ascomycetes A.niger (CBS 147320 2022)
GCA_023134265.1_ASM2313426v1	ascomycetes A.niger (CBS 147321 2022)
GCA_023137925.1_ASM2313792v1	ascomycetes A.niger (CBS 147322 2022)
GCA_023137955.1_ASM2313795v1	ascomycetes A.niger (CBS 147323 2022)
GCA_023137965.1_ASM2313796v1	ascomycetes A.niger (CBS 147324 2022)
GCA_023137675.1_ASM2313767v1	ascomycetes A.niger (CBS 147343 2022)
GCA_023137865.1_ASM2313786v1	ascomycetes A.niger (CBS 147344 2022)
GCA_023137805.1_ASM2313780v1	ascomycetes A.niger (CBS 147345 2022)
GCA_023137835.1_ASM2313783v1	ascomycetes A.niger (CBS 147346 2022)
GCA_023137795.1_ASM2313779v1	ascomycetes A.niger (CBS 147347 2022)
GCA_023137735.1_ASM2313773v1	ascomycetes A.niger (CBS 147352 2022)
GCA_023137705.1_ASM2313770v1	ascomycetes A.niger (CBS 147353 2022)
GCA_023134235.1_ASM2313423v1	ascomycetes A.niger (CBS 147371 2022)
GCA_023137895.1_ASM2313789v1	ascomycetes A.niger (CBS 147482 2022)
GCA_019288275.1_ASM1928827v1	ascomycetes A.niger (CBS 554.65 2021)
GCA_023134295.1_ASM2313429v1	ascomycetes A.niger (CBS 630.78 2022)
GCA_023137765.1_ASM2313776v1	ascomycetes A.niger (CBS 769.97 2022)
